pk,doc,vdoc,name_french,clarification,alternative_id,representation,featuredomain_pk,designer_pk,dependson,abbreviation,sortkey_str,sortkey_int,jl_relevant_unit,jl_function,jl_formal_means
1,Only consider points of articulation where a nasal is phonetically possible,0==absent||1==present,,,see 1.1.02 and 1.1.03,211,2,1,,NstopEqNNas,,1,,,
2,,0==absent||1==present,,,1.1.10,236,2,1,,PhonConsLen,,10,,,
3,,0==absent||1==present,Arrive-t-il que  le nombre soit marqué séparément de la personne sur le verbe?,"""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"". They do not have to be discontinuously marked (that is covered by F102), this question aims to capture whether or not they are marked together by a portmanteau morpheme.",3.3.22,301,2,1,Hed needs to redo,SepVerbNumPerson,,100,verb,number,agreement
4,The questions 3.3.23ff imply 'do they ever'?,0==absent||1==present,"Le nombre, la personne et tout autre catégorie de TAM (c’est-à-dire trois catégories ou plus en tout) sont-ils marqués par des morphèmes portemanteaux sur les verbes ?","On the verb here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"" here. This includes both verbal agreement and bound pronouns, i.e. this dependency does not hold: (83:0 ^ 84:0 ^ 85:0 ^ (200:0 ν 280:0)) -> 101:0.",3.3.23,314,2,1,(83:0 ^ 84:0 ^ 85:0 ^ (200:0 ν 280:0)) -> 101:0,Portmanteau3Plus,,101,verb,TAM marking,agreement
5,,0==absent||1==present,"Est-ce que les catégories, comme personne, nombre, genre, qui sont liées à un seul participant sont marquées discontinuement sur le verbe?","On the verb here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs"" here. This includes both verbal agreement and bound pronouns, i.e. this dependency does not hold: ((199 ^ 200:0) ν (278 ^ 280:0)) -> 102:0",3.3.24,312,2,1,((199 ^ 200:0) ν (278 ^ 280:0)) -> 102:0,DistributedCategory,,102,verb,multiple,agreement
6,"E.g., in  ""I stole a car for my mother"", is there any marking on the verb (here stole ) indexing the benefactive nominal (here ""my mother"")",0==absent||1==present,Les nominaux bénéfactifs sont-ils marqués sur le verbe ?,"This marker concerns a bound verbal marker that signals that the verb has a benefactive argument. The marker could be analyzed in the language-specific case as voice, agreement or a bound pronoun. The marker doesn't have to index the benefactor or benefactee. Serial-verb-constructions that include a marker of benefactive (typically the root for ""give"") do not count here.",3.4.02,321,2,1,103,BenMarkedV,,103,verb,argument marking,head marking
7,,0==absent||1==present,Est-il possible  de marquer l’instrument sur le verbe ?,This marker doesn't have to index the instrument.,3.4.02a,279,2,1,104,InstMarkedV,,104,verb,argument marking,head marking
8,,0==absent||1==present,Les  bénéficiaires peuvent-ils être traités comme des objets directs?,"F105 is concerned with both agreement on the verb and constituent marking (constituent marking = marking on the constituent that refers to the role the constituent has to the predicate, i.e. both adpositions (F76-77) and case (F71-73)). A ‘yes’ in F105 is firstly triggered by constituent marking. If there is no constituent marking of DO in the language whatsoever verbal agreement marking is considered. See F287-F90 for further subdivisions of this feature.",3.4.03,288,2,1,"(287:0 ^ 288:0 ^ 289:0 ^ 290:0) -> 105:0, (287:1 v 288:1) -> 105:1, ((287:0 ^ 288:0) ^ (289:1 v 290:1)) -> 105:1",RecipientObj,,105,clause,argument marking,multiple
9,,0==absent||1==present,Existe-t-il des verbes syntaxiquement ditransitifs?,"Are there verbs that can take three arguments without resorting to additional clauses, adpositional phrases or other constructions? If the only instance of a potential ditransitive is ‘give’, and a particular subset of give, than F106 should be answered no (0). Multiple topic constructions of the kind in Sino-Tibetan languages also do not qualify for a yes (1) in F106.",3.4.04,297,2,1,106,3PlacePreds,,106,verb,verbal classification,conjugation
10,"i.e. affixation, stem alternation, neutralization of some inflection",0==absent||1==present,La négation est-elle  morphologiquement marquée sur les verbes ?,"This feature refers to Standard Negation, i.e. at least the negation of dynamic verbal predicates in declarative mood. ""On the verb"" here means that the marker has to form a phonological unit with the root. This could refer to an affix, but suppletion, tonal marking and reduplication is also included.  Auxiliaries are also included in ""verbs"".",3.5.04,341,2,1,107,VNegation,,107,verb,negation,affixes & clitics (- agreement)
