ID,Name,Description,Contributor_ID,Doc,Vdoc,Name_french,Clarification,Alternative_id,Representation,Dependson,Abbreviation,Jl_relevant_unit,Jl_function,Jl_formal_means,Domain
1,Are there as many points of articulation for nasals as there are for stops?,,gerreesink,Only consider points of articulation where a nasal is phonetically possible,0==absent||1==present,,,see 1.1.02 and 1.1.03,211,,NstopEqNNas,,,,Arawakan-specific
2,Is there contrast between heterorganic and homorganic sequence of nasal and velar stop?,,gerreesink,"For example, does the language permit a phonetic contrast between -nk- and -ŋk- clusters",0==absent||1==present,,,1.1.03b,191,,NasVelStpSeq,,,,Arawakan-specific
3,Are there fricative phonemes?,,gerreesink,,0==absent||1==present,,,1.1.05,242,,Frics,,,,Arawakan-specific
4,Are there phonemic prenasalised stops?,,gerreesink,,0==absent||1==present,,,1.1.06,236,,PrenasStops,,,,Arawakan-specific
5,Is there a phonemic distinction between l/r?,,gerreesink,,0==absent||1==present,,,1.1.07,240,,LRDist,,,,Arawakan-specific
6,Is there a phonemic velar fricative or glide?,,gerreesink,,0==absent||1==present,,,1.1.08,238,,PhonVelarFricOrGlide,,,,Arawakan-specific
7,Is there a voicing contrast between oral (i.e. non-prenasal) stops?,,gerreesink,,0==absent||1==present,,,1.1.09,240,,VoiceContr,,,,Arawakan-specific
8,Is there a laminal/apical contrast?,,gerreesink,,0==absent||1==present,,,1.1.09a,208,,LaminalApical,,,,Arawakan-specific
9,Are there retroflexed consonants?,,gerreesink,,0==absent||1==present,,,1.1.09b,206,,RetroflexC,,,,Arawakan-specific
10,Is there phonemic consonant length?,,gerreesink,,0==absent||1==present,,,1.1.10,236,,PhonConsLen,,,,Arawakan-specific
11,Is there phonemic vowel length?,,gerreesink,Count as present even if there are also differences in vowel quality in addition to simply length,0==absent||1==present,,,1.1.11,236,,PhonVowelLength,,,,Arawakan-specific
12,Are there two or more contrastive central vowels?,,gerreesink,,0==absent||1==present,,,1.1.12,209,,CentralVContr,,,,Arawakan-specific
13,Is there lexically determined suprasegmental prominence?,,gerreesink,"suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena (don't include phonemic vowel length)",0==absent||1==present,,,1.1.15,212,,PhonStress,,,,Arawakan-specific
14,"Is there weight-sensitive suprasegmental prominence suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena?",,gerreesink,"suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena",0==absent||1==present,,,1.1.16,173,,WeightSens,,,,Arawakan-specific
15,Is there syllable position sensitive suprasegmental prominence?,,gerreesink,"suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena",0==absent||1==present,,,1.1.17,177,,SyllPosSens,,,,Arawakan-specific
16,Is there a tonal system?,,gerreesink,I.e. two or more contrastive tones ('N' here and 'Y' for 1.1.15 implies a stress system - make a note to 1.1.15 if this is not the case),0==absent||1==present,,,1.1.18,201,,Tonal,,,,Arawakan-specific
17,Are there word-final consonants?,,gerreesink,,0==absent||1==present,,,1.2.02,240,,WordFinalC,,,,Arawakan-specific
18,Are there consonant clusters (not counting prenasalized consonants) in syllable onset?,,gerreesink,,0==absent||1==present,,,1.2.03a,204,,OnsetCClust,,,,Arawakan-specific
19,Are there consonant clusters (not counting prenasalized consonants) in syllable coda?,,gerreesink,,0==absent||1==present,,,1.2.04,205,,CodaCClust,,,,Arawakan-specific
20,Are there definite or specific articles?,,gerreesink,,0==absent||1==present,Existe-t-il des articles définis ou spécifiques?,"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both an non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position.||Formal expression is irrelevant, articles can be free, bound, or marked by suprasegmental markers such as tone.||Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific article they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain context that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases it is necessary to investigate whether the marker can occur independently or not, if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns, see discussions on multifunctionality and take an informed stance in the language-specific case whether these markers are homophonous or polysemic.",2.1.01,319,20,DefSpecArt,article,definiteness,functional inventory,Arawakan-specific
21,Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?,,gerreesink,"If only on personal names, disregard",0==absent||1==present,Un NP indéfini  est-il obligatoirement marqué par un article indéfini (ou non-spécifique)?,"In this question we need explicit support that indefinite NPs cannot occur without an indefinite/non-specific article. Personal names are excluded here, they do not suffice for a 'yes' (1).",2.1.02a,284,194:0 -> 21:na,IndefArticle,article,definiteness,inserted item,Arawakan-specific
22,Are there prenominal articles?,,gerreesink,,0==absent||1==present,Existe-t-il des articles pré-nominaux?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",2.1.03a,287,"(172:1 v 186:1 v 22:1 v 194:1) -> (22:1 v 23:1), (20:0 ^ 194:0) -> (22:na ^23:na)",PrenomArt,article,definiteness,word order,Arawakan-specific
23,Are there postnominal articles?,,gerreesink,,0==absent||1==present,Existe-t-il des articles post-nominaux?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",2.1.03b,297,"(172:1 v 186:1 v 22:1 v 194:1) -> (22:1 v 23:1), (20:0 ^ 194:0) -> (22:na ^23:na)",PostnomArt,article,definiteness,word order,Arawakan-specific
24,What is the relative position of numeral and noun in the NP?,,gerreesink,,1==Num-N||2==N-Num||3==both,Quel est l’ordre du numéral et du nom dans le NP?,What is the pragmatically unmarked order of the cardinal numeral and the noun?,see 2.1.05a and 2.1.05b,283,24,OrderNumN,numeral,quantification,word order,Arawakan-specific
25,What is the relative position of demonstrative and noun in the NP?,,gerreesink,,1==Dem-N||2==N-Dem||3==both,Quel est la position relative du démonstratif et du nom dans le NP?,"All questions concerning order of elements aim to capture the pragmatically unmarked order, i.e. focus etc. is discarded.",see 2.1.05c and 2.1.05d,289,25,OrderDem,demonstrative,deixis,word order,Arawakan-specific
26,Are there 'discontinuous noun phrases'?,,gerreesink,"Can you say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifes what in the NP with- out them being adjacent.",0==absent||1==present,Existe-t-il des syntagmes nominaux discontinus?,"This is a question concerns the structure of the NP. Can you, for example, say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent. > i.e. the ""Australian type"". NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here, this features aims to capture NPs where the head and modifiers can be separated. Examples of the type ""I painted the house red"" or ""I saw the boy big"" are not necessarily discontinuous, but most likely resultative or contrastive (""I saw the boy big [as opposed to before when he was small]"").",2.1.06,242,26,DiscontNP,noun phrase,argument marking,word order,Arawakan-specific
27,Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?,,gerreesink,,0==absent||1==present,Existe-t-il une différence entre le marquage de la NP coordonnés (‘Gérard etLouise sont allés au marché’) et  celui  de syntagmes comitatifs ? (‘Gérard est allé au marché avecLouise’)?,"This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent).",2.1.07,260,27,CoordComit,noun phrase,coordination,inserted item,Arawakan-specific
